time,Re,inlet-p,outlet-p,time
0,0,4293339,4320918,0
0.1,0,4293339,4113385.7,0.1
0.2,12.828036272831,4290313.8859166,3905853.4,0.2
0.3,26.41397636093,4279864.4203814,3698321.1,0.3
0.4,38.475291499902,4258768.9553794,3490788.8,0.4
0.5,48.929589986831,4225738.1272016,3283256.5,0.5
0.6,57.812226192757,4180978.9409699,3075724.2,0.6
0.7,65.224941630242,4125538.882045,2868191.9,0.7
0.8,71.296749153669,4060821.8299189,2660659.6,0.8
0.9,76.160725176011,3988310.084253,2453127.3,0.9
1,79.942194151444,3909427.8982227,2245595,1
1.1,82.753609939238,3825484.8895271,2110457.7,1.1
1.2,82.125328707326,3738027.6041443,1975320.4,1.2
1.3,81.191128404366,3648619.2806757,1840183.1,1.3
1.4,80.038795686446,3558543.4797292,1705045.8,1.4
1.5,78.726373390382,3468718.1346342,1569908.5,1.5
1.6,77.288263551576,3379753.1123849,1434771.2,1.6
1.7,75.742970370554,3292043.7825828,1299633.9,1.7
1.8,74.099187237044,3205850.0971618,1164496.6,1.8
1.9,72.359807683207,3121350.8722453,1029359.3,1.9
2,70.524361223016,3038677.6757647,894222,2
2.1,68.590446664106,2957935.0801633,843890.3,2.1
